Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List,Normalized_Definition
"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmacell,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD19+, CD27+, nPlasmacell+, WBC"
"WBC/2-WBC/2-grans/Neu-CD45/Neutr,Freq. of,2-WBC",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD45+, gran, neutro, WBC"
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+/CD62L+,Freq. of,Q2: CD16+, CD11b+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11b+, CD16+, CD45+, CD62L+, gran, neutro, WBC"
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+/CD62L-,Freq. of,Q2: CD16+, CD11b+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11b+, CD16+, CD45+, CD62L-, gran, neutro, WBC"
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q3: CD16+,, CD11b,Freq. of,Neutr",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11b+, CD16+, CD45+, gran, neutro, WBC"
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q4: CD16,, CD11b,Freq. of,Neutr",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11b+, CD16+, CD45+, gran, neutro, WBC"
"WBC/2-WBC/lymono/monos,Freq. of,2-WBC",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"lymphocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16+,Freq. of,monos",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, lymphocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16+/CD11b+,Freq. of,CD14+CD16+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11b+, CD14+, CD16+, lymphocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16+/CD40+,Freq. of,CD14+CD16+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD40+, lymphocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16+/CD62L+,Freq. of,CD14+CD16+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD62L+, lymphocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16+/CD86+,Freq. of,CD14+CD16+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD86+, lymphocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16-,Freq. of,monos",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16-, lymphocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16-/CD11b+,Freq. of,CD14+CD16-",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11b+, CD14+, CD16-, lymphocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16-/CD40+,Freq. of,CD14+CD16-",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16-, CD40+, lymphocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16-/CD62L+,Freq. of,CD14+CD16-",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16-, CD62L+, lymphocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16-/CD86+,Freq. of,CD14+CD16-",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16-, CD86+, lymphocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14dimCD16+,Freq. of,monos",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, lymphocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD11b+,Freq. of,CD14dimCD16+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11b+, CD14+, CD16+, lymphocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD40+,Freq. of,CD14dimCD16+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD40+, lymphocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD62L+,Freq. of,CD14dimCD16+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD62L+, lymphocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD86+,Freq. of,CD14dimCD16+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD86+, lymphocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/dn,Freq. of,monos",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14-, CD16-, lymphocyte, monocyte, WBC"
"WBC/CD19+SCC/CD19+,Freq. of,WBC",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD19+, WBC"
"CD45+/CD3+/CD4/TFH,Freq. of,CD4",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, TFH"
"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD20+,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD19+, CD20+, WBC"
"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD19+, CD27+, WBC"
"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmablast,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD19+, CD27+, plasmablast, WBC"
"CD45+/CD3+/CD4/Naive,Freq. of,CD4",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, naive"
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q1: CD16,, CD11b+,Freq. of,Neutr",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11b+, CD16+, CD45+, gran, neutro, WBC"
"CD45+/CD3+/CD4/TFH/1,Freq. of,TFH",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, TFH1"
"Lymp/CD3-/CD56br,Freq. of,Lymp",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3-, CD56+, lymphocyte"
"CD45+/CD3+/CD4/non TFH/17/ICOS,Freq. of,17",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, non+, TFH17"
"CD45+/CD3+/CD4/non TFH/2/ICOS,Freq. of,2",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, non+, TFH2"
"CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+,Freq. of,CD4",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CCR6+, CD3+, CD4+, CD45+, CXCR3+, non+, TFH"
"CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, non+, TFH"
"CD45+/CD3+/CD8,Freq. of,CD45+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+, CD8+"
"CD45+/CD3+/CD8/ICOS,Freq. of,CD8",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+, CD8+, ICOS+"
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q5: CD45RA,, CD4+,Freq. of,Q1: BDCA-1+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD1c+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC"
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/CD2-,Freq. of,Q1: BDCA-1+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD1c+, CD2-, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC"
"Lymp/CD3-/CD56diCD16+,Freq. of,Lymp",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD16+, CD3-, CD56+, lymphocyte"
"Lymp/CD3-/CD56-CD16+,Freq. of,Lymp",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD16+, CD3-, CD56-, lymphocyte"
"CD45+/CD3+/CD4/non TFH/1,Freq. of,CD4",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, non+, TFH1"
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/CD2+,Freq. of,Q1: BDCA-1+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD1c+, CD2+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC"
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+,Freq. of,Neutr",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11b+, CD16+, CD45+, gran, neutro, WBC"
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+,Freq. of,sWBC",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD1c+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC"
"sWBC/lymono/Lin2-Dr+/CD123+,Freq. of,sWBC",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD123+, HLA-DR+, Lin2-, lymphocyte, monocyte, WBC"
"sWBC/lymono/Lin2-Dr+/CD11c+,Freq. of,sWBC",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11c+, HLA-DR+, Lin2-, lymphocyte, monocyte, WBC"
"ly/CD3+/CD8+/CD25+,Freq. of,CD8+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD25+, CD3+, CD8+, lymphocyte"
"ly/CD3+/CD8+/CTLA4+,Freq. of,CD8+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, CTLA4+, lymphocyte"
"CD45+/CD3+/CD4/TFH/1/ICOS,Freq. of,1",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, TFH1"
"ly/CD3+/CD8+/FoxP3+,Freq. of,CD8+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, FoxP3+, lymphocyte"
"CD45+/CD3+/CD4/non TFH/1/ICOS,Freq. of,1",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, non+, TFH1"
"Lymp/CD3-/CD56diCD16-,Freq. of,Lymp",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD16-, CD3-, CD56+, lymphocyte"
"CD45+/CD3+/CD4/TFH/17,Freq. of,TFH",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, TFH17"
"CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+,Freq. of,TFH",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CCR6+, CD3+, CD4+, CD45+, CXCR3+, TFH"
"WBC/CD19+SCC/CD19+/nQ4: CD27,, IgD,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"B_unswitched_memory, CD19+, CD27+, IgD+, WBC"
"ly/CD3+/CD4+/CD25+,Freq. of,CD4+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD25+, CD3+, CD4+, lymphocyte"
"WBC/CD19+SCC/CD19+/nQ3: CD27+,, IgD,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"B_unswitched_memory, CD19+, CD27+, IgD+, WBC"
"ly/CD3+/CD4+/CTLA4+,Freq. of,CD4+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CTLA4+, lymphocyte"
"CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, TFH"
"CD45+/CD3+/CD4/TFH/17/ICOS,Freq. of,17",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, TFH17"
"CD45+/CD3+/CD4/Teff,Freq. of,CD4",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, Teff+"
"CD45+/CD3+/CD4/non TFH,Freq. of,CD4",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, non+, TFH"
"CD45+/CD3+/CD4/TFH/ICOS,Freq. of,TFH",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, TFH"
"CD45+/CD3+/CD4/TFH/2/ICOS,Freq. of,2",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, TFH2"
"ly/CD3+/CD4+/FoxP3+,Freq. of,CD4+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, FoxP3+, lymphocyte"
"CD45+/CD3+/CD4/TFH/2,Freq. of,TFH",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, TFH2"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD11b+,Freq. of,CD14+CD16+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD11b+, CD14+, CD16+, CD86+, monocyte, singlet, WBC"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+,Freq. of,2-CD14+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD86+, monocyte, singlet, WBC"
"sing/WBC/lymono/Lin-DR+/SLAN+,Freq. of,WBC",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD62L+,Freq. of,CD14+CD16+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD62L+, CD86+, monocyte, singlet, WBC"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD40+,Freq. of,CD14+CD16+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD40+, CD86+, monocyte, singlet, WBC"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD86+,Freq. of,CD14+CD16+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD86+, monocyte, singlet, WBC"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-,Freq. of,2-CD14+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16-, CD86+, monocyte, singlet, WBC"
"ly/CD3+/CD8+/Ki67,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, Ki67+, lymphocyte"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD11b+,Freq. of,CD14+CD16-",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD11b+, CD14+, CD16-, CD86+, monocyte, singlet, WBC"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+,Freq. of,2-WBC",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD86+, monocyte, singlet, WBC"
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q3: CD16+,, CD11b-,Freq. of,Neutr",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD11b-, CD16+, CD45+, gran, neutro, singlet, WBC"
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q4: CD16-,, CD11b-,Freq. of,Neutr",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD11b-, CD16-, CD45+, gran, neutro, singlet, WBC"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD62L+,Freq. of,CD14+CD16-",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16-, CD62L+, CD86+, monocyte, singlet, WBC"
"sing/CD45+/CD3+/CD4/Teff,Freq. of,CD4",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, singlet, Teff+"
"sing/CD45+/CD3+/CD4/non TFH,Freq. of,CD4",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, non+, singlet, TFH"
"sing/CD45+/CD3+/CD4/non TFH/1,Freq. of,CD4",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, non+, singlet, TFH1"
"sing/CD45+/CD3+/CD4/non TFH/1/ICOS,Freq. of,1",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, non+, singlet, TFH1"
"sing/CD45+/CD3+/CD4/non TFH/17/ICOS,Freq. of,17",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, non+, singlet, TFH17"
"sing/CD45+/CD3+/CD4/non TFH/2/ICOS,Freq. of,2",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, non+, singlet, TFH2"
"sing/CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+,Freq. of,CD4",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CCR6+, CD3+, CD4+, CD45+, CXCR3+, non+, singlet, TFH"
"sing/CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, non+, singlet, TFH"
"sing/CD45+/CD3+/CD8,Freq. of,CD45+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+, CD8+, singlet"
"sing/CD45+/CD3+/CD8/CM,Freq. of,CD8",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+, CD8+, CM, singlet"
"sing/CD45+/CD3+/CD8/EM,Freq. of,CD8",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+, CD8+, EM, singlet"
"sing/CD45+/CD3+/CD8/ICOS,Freq. of,CD8",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+, CD8+, ICOS+, singlet"
"sing/CD45+/CD3+/CD8/Naive,Freq. of,CD8",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+, CD8+, naive, singlet"
"sing/CD45+/CD3+/CD8/Teff,Freq. of,CD8",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+, CD8+, singlet, Teff+"
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr,Freq. of,2-WBC",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD45+, gran, neutro, singlet, WBC"
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q1: CD16-,, CD11b+,Freq. of,Neutr",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD11b+, CD16-, CD45+, gran, neutro, singlet, WBC"
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+,Freq. of,Neutr",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD11b+, CD16+, CD45+, gran, neutro, singlet, WBC"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD40+,Freq. of,CD14+CD16-",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16-, CD40+, CD86+, monocyte, singlet, WBC"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+,Freq. of,2-CD14+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD86+, monocyte, singlet, WBC"
"ly/CD3+/CD8+/Q4: HLA-DR,, CD38,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD8+, HLA-DR+, lymphocyte"
"ly/CD3+/CD8+/Q10: CD45RA+,, CCR7+,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, lymphocyte, naive"
"sing/WBC/CD19+SCC/CD19+/nQ3: CD27+,, IgD-,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"B_switched_memory, CD19+, CD27+, IgD-, singlet, WBC"
"sing/WBC/CD19+SCC/CD19+/nQ3: CD19+,, CD20-,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD19+, CD20-, singlet, WBC"
