Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List,Normalized_Definition,Intermediate_Population
"CD3+, CD8+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD8+",CD8+ T cells (Other)
"CD3+, CD8+, CCR7+, CD45RA-",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD8+, CM",Memory CD8+ T cells
"CD3+, CD8+, CCR7-, CD45RA+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD8+, TEMRA",Memory CD8+ T cells
"CD3+, CD8+, CCR7+, CD45RA+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD8+, naive",Naive CD8+ T cells
"CD3+, CD4+, CCR7-, CD45RA+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD4+, TEMRA",Memory CD4+ T cells
"CD3+, CD4+, CCR7+, CD45RA-",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD4+, CM",Memory CD4+ T cells
"CD14+, HLA-DR+, CX3CR1hi",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD14+, CX3CR1+, HLA-DR+",Monocytes (Unspecified)
"CD3+, CD4+, CCR7-, CD45RA-",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD4+, EM",Memory CD4+ T cells
"CD14+, HLA-DR+, CX3CR1lo",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD14+, CX3CR1+, HLA-DR+",Monocytes (Unspecified)
"CD14+, HLADR+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD14+, HLA-DR+",Monocytes (Unspecified)
"CD14+, SLAN+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD14+, SLAN+",Non-classical Monocytes
CD16+ neutrophil,ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD16+, neutro",Granulocytes
"CD3+, CD4+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD4+",CD4+ T cells (Other)
"CD3+, CD4+, CCR7+, CD45RA+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD4+, naive",Naive CD4+ T cells
"CD45+/CD3+/CD4/ICOS,Freq. of,CD4",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+",CD4+ T cells (Other)
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q8: CD45RA,, CD4,Freq. of,Q3: BDCA-2+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD303+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC",Plasmacytoid DCs (pDC)
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q7: CD45RA+,, CD4,Freq. of,Q3: BDCA-2+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD303+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC",Plasmacytoid DCs (pDC)
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q6: CD45RA+,, CD4+,Freq. of,Q1: BDCA-1+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD1c+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC",Myeloid DCs type 1 (mDC1)
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q7: CD45RA+,, CD4,Freq. of,Q1: BDCA-1+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD1c+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC",Myeloid DCs type 1 (mDC1)
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q6: CD45RA+,, CD4+,Freq. of,Q3: BDCA-2+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD303+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC",Plasmacytoid DCs (pDC)
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q5: CD45RA,, CD4+,Freq. of,Q3: BDCA-2+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD303+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC",Plasmacytoid DCs (pDC)
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/CD2-,Freq. of,Q3: BDCA-2+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD2-, CD303+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC",Plasmacytoid DCs (pDC)
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/CD2+,Freq. of,Q3: BDCA-2+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD2+, CD303+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC",Plasmacytoid DCs (pDC)
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+,Freq. of,sWBC",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD303+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC",Plasmacytoid DCs (pDC)
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q8: CD45RA,, CD4,Freq. of,Q1: BDCA-1+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD1c+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC",Myeloid DCs type 1 (mDC1)
"WBC/CD19+SCC/CD19+/nQ3: CD19+,, CD20,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD19+, CD20+, WBC",B cells (Other)
"CD45+/CD3+/CD4/EM,Freq. of,CD4",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, EM",Memory CD4+ T cells
"CD45+/CD3+/CD4/CM,Freq. of,CD4",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, CM",Memory CD4+ T cells
"CD45+/CD3+,Freq. of,CD45+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+",T cells (Unspecified Subtype)
"WBC/CD19+SCC/CD19+/nQ1: CD27,, IgD+,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"B_unswitched_memory, CD19+, CD27+, IgD+, WBC",Memory B cells
"WBC/CD19+SCC/CD19+/n transitional,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD19+, n+, transitional+, WBC",B cells (Other)
"WBC/CD19+SCC/CD19+/nQ2: CD27+,, IgD+,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"B_unswitched_memory, CD19+, CD27+, IgD+, WBC",Memory B cells
"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmacell,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD19+, CD27+, nPlasmacell+, WBC",B cells (Other)
"WBC/2-WBC/2-grans/Neu-CD45/Neutr,Freq. of,2-WBC",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD45+, gran, neutro, WBC",Granulocytes
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+/CD62L+,Freq. of,Q2: CD16+, CD11b+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11b+, CD16+, CD45+, CD62L+, gran, neutro, WBC",Granulocytes
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+/CD62L-,Freq. of,Q2: CD16+, CD11b+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11b+, CD16+, CD45+, CD62L-, gran, neutro, WBC",Granulocytes
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q3: CD16+,, CD11b,Freq. of,Neutr",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11b+, CD16+, CD45+, gran, neutro, WBC",Granulocytes
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q4: CD16,, CD11b,Freq. of,Neutr",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11b+, CD16+, CD45+, gran, neutro, WBC",Granulocytes
"WBC/2-WBC/lymono/monos,Freq. of,2-WBC",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"lymphocyte, monocyte, WBC",Monocytes (Unspecified)
"WBC/2-WBC/lymono/monos/CD14+CD16+,Freq. of,monos",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, lymphocyte, monocyte, WBC",Intermediate Monocytes
"WBC/2-WBC/lymono/monos/CD14+CD16+/CD11b+,Freq. of,CD14+CD16+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11b+, CD14+, CD16+, lymphocyte, monocyte, WBC",Intermediate Monocytes
"WBC/2-WBC/lymono/monos/CD14+CD16+/CD40+,Freq. of,CD14+CD16+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD40+, lymphocyte, monocyte, WBC",Intermediate Monocytes
"WBC/2-WBC/lymono/monos/CD14+CD16+/CD62L+,Freq. of,CD14+CD16+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD62L+, lymphocyte, monocyte, WBC",Intermediate Monocytes
"WBC/2-WBC/lymono/monos/CD14+CD16+/CD86+,Freq. of,CD14+CD16+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD86+, lymphocyte, monocyte, WBC",Intermediate Monocytes
"WBC/2-WBC/lymono/monos/CD14+CD16-,Freq. of,monos",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16-, lymphocyte, monocyte, WBC",Classical Monocytes
"WBC/2-WBC/lymono/monos/CD14+CD16-/CD11b+,Freq. of,CD14+CD16-",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11b+, CD14+, CD16-, lymphocyte, monocyte, WBC",Classical Monocytes
"WBC/2-WBC/lymono/monos/CD14+CD16-/CD40+,Freq. of,CD14+CD16-",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16-, CD40+, lymphocyte, monocyte, WBC",Classical Monocytes
"WBC/2-WBC/lymono/monos/CD14+CD16-/CD62L+,Freq. of,CD14+CD16-",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16-, CD62L+, lymphocyte, monocyte, WBC",Classical Monocytes
"WBC/2-WBC/lymono/monos/CD14+CD16-/CD86+,Freq. of,CD14+CD16-",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16-, CD86+, lymphocyte, monocyte, WBC",Classical Monocytes
"WBC/2-WBC/lymono/monos/CD14dimCD16+,Freq. of,monos",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, lymphocyte, monocyte, WBC",Intermediate Monocytes
"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD11b+,Freq. of,CD14dimCD16+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11b+, CD14+, CD16+, lymphocyte, monocyte, WBC",Intermediate Monocytes
"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD40+,Freq. of,CD14dimCD16+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD40+, lymphocyte, monocyte, WBC",Intermediate Monocytes
"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD62L+,Freq. of,CD14dimCD16+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD62L+, lymphocyte, monocyte, WBC",Intermediate Monocytes
"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD86+,Freq. of,CD14dimCD16+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD86+, lymphocyte, monocyte, WBC",Intermediate Monocytes
"WBC/2-WBC/lymono/monos/dn,Freq. of,monos",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD14-, CD16-, lymphocyte, monocyte, WBC",Monocytes (Unspecified)
"WBC/CD19+SCC/CD19+,Freq. of,WBC",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD19+, WBC",B cells (Other)
"CD45+/CD3+/CD4/TFH,Freq. of,CD4",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, TFH",T follicular helper (Tfh) cells
"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD20+,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD19+, CD20+, WBC",B cells (Other)
"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD19+, CD27+, WBC",B cells (Other)
"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmablast,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD19+, CD27+, plasmablast, WBC",Plasmablasts / Plasma cells
"CD45+/CD3+/CD4/Naive,Freq. of,CD4",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, naive",Naive CD4+ T cells
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q1: CD16,, CD11b+,Freq. of,Neutr",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11b+, CD16+, CD45+, gran, neutro, WBC",Granulocytes
"CD45+/CD3+/CD4/TFH/1,Freq. of,TFH",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, TFH1",T follicular helper (Tfh) cells
"Lymp/CD3-/CD56br,Freq. of,Lymp",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3-, CD56+, lymphocyte",NK cells
"CD45+/CD3+/CD4/non TFH/17/ICOS,Freq. of,17",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, non+, TFH17",T follicular helper (Tfh) cells
"CD45+/CD3+/CD4/non TFH/2/ICOS,Freq. of,2",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, non+, TFH2",T follicular helper (Tfh) cells
"CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+,Freq. of,CD4",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CCR6+, CD3+, CD4+, CD45+, CXCR3+, non+, TFH",T follicular helper (Tfh) cells
"CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, non+, TFH",T follicular helper (Tfh) cells
"CD45+/CD3+/CD8,Freq. of,CD45+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+, CD8+",CD8+ T cells (Other)
"CD45+/CD3+/CD8/ICOS,Freq. of,CD8",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+, CD8+, ICOS+",CD8+ T cells (Other)
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q5: CD45RA,, CD4+,Freq. of,Q1: BDCA-1+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD1c+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC",Myeloid DCs type 1 (mDC1)
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/CD2-,Freq. of,Q1: BDCA-1+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD1c+, CD2-, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC",Myeloid DCs type 1 (mDC1)
"Lymp/CD3-/CD56diCD16+,Freq. of,Lymp",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD16+, CD3-, CD56+, lymphocyte",NK cells
"Lymp/CD3-/CD56-CD16+,Freq. of,Lymp",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD16+, CD3-, CD56-, lymphocyte",Lymphocytes (Unspecified)
"CD45+/CD3+/CD4/non TFH/1,Freq. of,CD4",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, non+, TFH1",T follicular helper (Tfh) cells
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/CD2+,Freq. of,Q1: BDCA-1+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD1c+, CD2+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC",Myeloid DCs type 1 (mDC1)
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+,Freq. of,Neutr",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11b+, CD16+, CD45+, gran, neutro, WBC",Granulocytes
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+,Freq. of,sWBC",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD1c+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC",Myeloid DCs type 1 (mDC1)
"sWBC/lymono/Lin2-Dr+/CD123+,Freq. of,sWBC",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD123+, HLA-DR+, Lin2-, lymphocyte, monocyte, WBC",Monocytes (Unspecified)
"sWBC/lymono/Lin2-Dr+/CD11c+,Freq. of,sWBC",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD11c+, HLA-DR+, Lin2-, lymphocyte, monocyte, WBC",Monocytes (Unspecified)
"ly/CD3+/CD8+/CD25+,Freq. of,CD8+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD25+, CD3+, CD8+, lymphocyte",CD8+ T cells (Other)
"ly/CD3+/CD8+/CTLA4+,Freq. of,CD8+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, CTLA4+, lymphocyte",CD8+ T cells (Other)
"CD45+/CD3+/CD4/TFH/1/ICOS,Freq. of,1",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, TFH1",T follicular helper (Tfh) cells
"ly/CD3+/CD8+/FoxP3+,Freq. of,CD8+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, FoxP3+, lymphocyte",Regulatory T cells (Treg)
"CD45+/CD3+/CD4/non TFH/1/ICOS,Freq. of,1",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, non+, TFH1",T follicular helper (Tfh) cells
"Lymp/CD3-/CD56diCD16-,Freq. of,Lymp",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD16-, CD3-, CD56+, lymphocyte",NK cells
"CD45+/CD3+/CD4/TFH/17,Freq. of,TFH",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, TFH17",T follicular helper (Tfh) cells
"CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+,Freq. of,TFH",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CCR6+, CD3+, CD4+, CD45+, CXCR3+, TFH",T follicular helper (Tfh) cells
"WBC/CD19+SCC/CD19+/nQ4: CD27,, IgD,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"B_unswitched_memory, CD19+, CD27+, IgD+, WBC",Memory B cells
"ly/CD3+/CD4+/CD25+,Freq. of,CD4+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD25+, CD3+, CD4+, lymphocyte",CD4+ T cells (Other)
"WBC/CD19+SCC/CD19+/nQ3: CD27+,, IgD,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"B_unswitched_memory, CD19+, CD27+, IgD+, WBC",Memory B cells
"ly/CD3+/CD4+/CTLA4+,Freq. of,CD4+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CTLA4+, lymphocyte",CD4+ T cells (Other)
"CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, TFH",T follicular helper (Tfh) cells
"CD45+/CD3+/CD4/TFH/17/ICOS,Freq. of,17",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, TFH17",T follicular helper (Tfh) cells
"CD45+/CD3+/CD4/Teff,Freq. of,CD4",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, Teff+",CD4+ T cells (Other)
"CD45+/CD3+/CD4/non TFH,Freq. of,CD4",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, non+, TFH",T follicular helper (Tfh) cells
"CD45+/CD3+/CD4/TFH/ICOS,Freq. of,TFH",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, TFH",T follicular helper (Tfh) cells
"CD45+/CD3+/CD4/TFH/2/ICOS,Freq. of,2",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, TFH2",T follicular helper (Tfh) cells
"ly/CD3+/CD4+/FoxP3+,Freq. of,CD4+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, FoxP3+, lymphocyte",Regulatory T cells (Treg)
"CD45+/CD3+/CD4/TFH/2,Freq. of,TFH",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, TFH2",T follicular helper (Tfh) cells
