Normalized_Definition,Intermediate_Population
"CD3+, CD4+, CD45RA-, CXCR5-, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"CD3+, CD4+, CD45RA-, CXCR5-, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"CD3+, CD4+, CD45RA-, CXCR5+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"B_switched_memory, CD19+, CD27+, CD86+, IgD-, lymphocyte, singlet, WBC",Memory B cells
"B_switched_memory, CD19+, CD27+, IgD-, lymphocyte, singlet, WBC",Memory B cells
"B_unswitched_memory, CD19+, CD27+, CD86+, IgD+, lymphocyte, singlet, WBC",Memory B cells
"B_unswitched_memory, CD19+, CD27+, IgD+, lymphocyte, singlet, WBC",Memory B cells
"CD19+, CD20-, CD86+, lymphocyte, singlet, WBC",B cells (Other)
"CD19+, CD20-, lymphocyte, singlet, WBC",B cells (Other)
"CD19+, CD20+, CD86+, lymphocyte, singlet, WBC",B cells (Other)
"CD19+, CD20+, lymphocyte, singlet, WBC",B cells (Other)
"B_naive, CD19+, CD27-, CD86+, IgD+, lymphocyte, singlet, WBC",Naive B cells
"B_naive, CD19+, CD27-, IgD+, lymphocyte, singlet, WBC",Naive B cells
"CD19+, CD27-, IgD-, lymphocyte, singlet, WBC",B cells (Other)
"CD19+, CD27-, CD86+, IgD-, lymphocyte, singlet, WBC",B cells (Other)
"CD19+, CD20-, CD38+, lymphocyte, singlet, WBC",B cells (Other)
"CD19+, CD20-, CD38+, CD86+, lymphocyte, singlet, WBC",B cells (Other)
"CD19+, CD24+, CD38+, lymphocyte, singlet, WBC",B cells (Other)
"CD19+, CD24+, CD38+, CD86+, lymphocyte, singlet, WBC",B cells (Other)
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+",CD4+ T cells (Other)
"CD3+, CD4+, CD45RA-, CD8-, CXCR5-, HLA-DR+",CD4+ T cells (Other)
"CD3+, CD8+, EM",Memory CD8+ T cells
"CD3+, CD4+, CD45RA-, CXCR5+",CD4+ T cells (Other)
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+",CD4+ T cells (Other)
"HLA-DR+, Lin1-",Unclassified / Potential Error
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, ICOS+",CD4+ T cells (Other)
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+",CD4+ T cells (Other)
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+",CD4+ T cells (Other)
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+",CD4+ T cells (Other)
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+",CD4+ T cells (Other)
"CD3+, CD4+, CD45RA-, CXCR5+, ICOS+",CD4+ T cells (Other)
"CD3+, CD8+",CD8+ T cells (Other)
"CD3+, CD8+, CM",Memory CD8+ T cells
"CD3+, CD8+, TEMRA",Memory CD8+ T cells
"CD3+, CD8+, naive",Naive CD8+ T cells
"CD3+, CD4+, TEMRA",Memory CD4+ T cells
"CD3+, CD4+, CM",Memory CD4+ T cells
"CD14+, CX3CR1+, HLA-DR+",Unclassified / Potential Error
"CD3+, CD4+, EM",Memory CD4+ T cells
"CD14+, SLAN+",Unclassified / Potential Error
"CD16+, neutro",Granulocytes
"CD3+, CD4+",CD4+ T cells (Other)
"CD3+, CD4+, naive",Naive CD4+ T cells
"CD3+, CD4+, CD45+, ICOS+",CD4+ T cells (Other)
"CD303+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC",Plasmacytoid DCs (pDC)
"CD1c+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC",Myeloid DCs type 1 (mDC1)
"CD2-, CD303+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC",Plasmacytoid DCs (pDC)
"CD2+, CD303+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC",Plasmacytoid DCs (pDC)
"CD303+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC",Plasmacytoid DCs (pDC)
"CD19+, CD20+, WBC",B cells (Other)
"CD3+, CD4+, CD45+, EM",Memory CD4+ T cells
"CD3+, CD4+, CD45+, CM",Memory CD4+ T cells
"CD3+, CD45+",T cells (Unspecified Subtype)
"B_unswitched_memory, CD19+, CD27+, IgD+, WBC",Memory B cells
"CD19+, n+, transitional+, WBC",B cells (Other)
"CD19+, CD27+, nPlasmacell+, WBC",B cells (Other)
"CD45+, gran, neutro, WBC",Granulocytes
"CD11b+, CD16+, CD45+, CD62L+, gran, neutro, WBC",Granulocytes
"CD11b+, CD16+, CD45+, CD62L-, gran, neutro, WBC",Granulocytes
