Population Definition Reported,count
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6-",82
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/ICOS+",82
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-",82
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6-/ICOS+",82
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6-",82
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6+/ICOS+",82
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6+/ICOS+",82
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6+",82
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6-/ICOS+",82
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6-",82
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/ICOS+",82
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-",82
Singlet/WBC/Lymph/CD3/CD4/ICOS+,82
Singlet/WBC/Lymph/CD3/CD4,82
Singlet/WBC/Lymph/CD3/CD8/CCR6+,82
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6+",82
Singlet/WBC/Lymph/CD3/CD8/CXCR5+,82
Singlet/WBC/Lymph/CD3/CD8/ICOS+,82
Viable/Singlets/Monocytes,82
Viable/Singlets/Lymphs/CD3+/TCRgd,82
Viable/Singlets/Lymphs/CD3+/CD3+ CD56+,82
Viable/Singlets/Lymphs/CD3-/B cells,82
Viable/Singlets/Lymphs/CD3-,82
"Viable/Singlets/Lymphs/CD3+/CD8+/Q3: CD45RA+, CD27D",82
"Viable/Singlets/Lymphs/CD3+/CD4+/Q1: CD45RAD, CD27+",82
"Viable/Singlets/Lymphs/CD3+/CD4+/Q2: CD45RA+, CD27+",82
"Viable/Singlets/Lymphs/CD3+/CD4+/Q3: CD45RA+, CD27D",82
"Viable/Singlets/Lymphs/CD3+/CD4+/Q4: CD45RAD, CD27D",82
"Viable/Singlets/Lymphs/CD3+/CD8+/Q1: CD45RAD, CD27+",82
"Viable/Singlets/Lymphs/CD3+/CD8+/Q4: CD45RAD, CD27D",82
Viable/Singlets/Lymphs/CD3+/CD8+/CD27+,82
Viable/Singlets/Lymphs/CD3+/CD4+/CD27+,82
Viable/Singlets/Lymphs/CD3+/CD8+/CD28+,82
Viable/Singlets/Lymphs/CD3+/CD4+/CD28+,82
Viable/Singlets/Lymph/CD3+/CD8+,82
Viable/Singlets/Lymph/CD3+/CD4+,82
Viable/Singlets/Lymph/CD3+,82
Viable/Singlets/Lymph,82
Singlet/WBC/Lymph/CD3,82
Singlet/WBC/Lymph/CD3/ICOS+,82
Viable/Singlets/Monocytes/CD33+,82
Singlet/WBC/Lymph/CD19/CD27+/CD138+/CD86+,80
"Singlet/WBC/Lymph/CD19/CD27+, IgD-",80
Singlet/WBC/Lymph/CD19,80
Singlet/WBC/Lymph/CD19/CD86+,80
Singlet/WBC/Lymph/CD19/CD27+,80
Singlet/WBC/Lymph/CD19/CD27+/CD138+,80
"Singlet/WBC/Lymph/CD19/CD38+, CD20-/CD86+",80
"Singlet/WBC/Lymph/CD19/CD38+, CD24+",80
"Singlet/WBC/Lymph/CD19/CD38+, CD24+/CD86+",80
"Singlet/WBC/Lymph/CD19/CD27-, IgD+",80
"Singlet/WBC/Lymph/CD19/CD27+, IgD+",80
"Singlet/WBC/Lymph/CD19/CD38+, CD20-",80
"Singlet/WBC/Lymph/CD19/CD27-, IgD-",80
"Singlet/WBC/Lymph/CD19/CD19+, CD20-",80
"Singlet/WBC/Lymph/CD19/CD27-, IgD+/CD86+",80
"Singlet/WBC/Lymph/CD19/CD27+, IgD+/CD86+",80
"Singlet/WBC/Lymph/CD19/CD27+, IgD-/CD86+",80
"Singlet/WBC/Lymph/CD19/CD27-, IgD-/CD86+",80
"Singlet/WBC/Lymph/CD19/CD19+, CD20+/CD86+",80
"Singlet/WBC/Lymph/CD19/CD19+, CD20-/CD86+",80
"Singlet/WBC/Lymph/CD19/CD19+, CD20+",80
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+,HLA-DR+",72
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-,HLA-DR+",72
"CD3+, CD4+, CXCR5+, CD45RA-",60
"CD3+, CD4+",60
"CD3+, CD4+, CCR7+, CD45RA+",60
"CD3+, CD4+, CCR7-, CD45RA+",60
"CD3+, CD4+, CCR7-, CD45RA-",60
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6+, ICOS+",60
"CD3+, CD4+, CXCR5+, CD45RA-, ICOS+",60
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3+, CCR6-",60
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3+, CCR6-, ICOS+",60
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6+",60
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6-",60
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6-, ICOS+",60
"CD3+, CD8+, CCR7-, CD45RA+",60
"CD3+, CD8+, CCR7-, CD45RA-",60
"CD3+, CD4+, CCR7+, CD45RA-",60
"CD3+, CD8+, CCR7+, CD45RA+",60
"CD14+, HLA-DR+, CX3CR1lo",60
