Population Definition Reported,Normalized_Definition
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86+","BDCA2+, CD11c-, CD86+, HLA-DR+, Lin1-"
"CD3+, CD4-, CD8+","CD3+, CD4-, CD8+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+, ICOS+","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, ICOS+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86+","BDCA2-, CD11c+, CD86+, HLA-DR+, Lin1-"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-"
"CD14+, HLA-DR+","CD14+, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-","CD3+, CD4+, CD45RA-, CD8-, CXCR5-"
"CD3+, CD4-, CD8+, ICOS+","CD3+, CD4-, CD8+, ICOS+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, ICOS+","CD3+, CD4+, CD45RA-, CD8-, CXCR5+, ICOS+"
"CD3+, CD4-, CD8+, CXCR5+","CD3+, CD4-, CD8+, CXCR5+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-, ICOS+","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, ICOS+"
SLAN+,SLAN+
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-, ICOS+","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, ICOS+"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2+","BDCA2+, CD11c-, CD2+, HLA-DR+, Lin1-"
"CD3+, CD4-, CD8+, CXCR3+","CD3+, CD4-, CD8+, CXCR3+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, ICOS+","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, ICOS+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86-","BDCA2-, CD11c+, CD86-, HLA-DR+, Lin1-"
